LC_Input,FSR
1969.3,1381.0
1969.3,1384.0
1995.85,1386.0
1942.77,1381.0
1889.75,1382.0
1942.77,1386.0
1969.3,1385.0
1969.3,1382.0
1969.3,1385.0
1969.3,1382.0
1969.3,1382.0
1969.3,1383.0
1995.85,1378.0
1969.3,1382.0
1995.85,1380.0
2022.4,1383.0
1995.85,1381.0
1969.3,1384.0
1969.3,1386.0
1969.3,1382.0
1969.3,1382.0
1969.3,1385.0
1969.3,1384.0
1916.25,1382.0
1969.3,1382.0
1969.3,1380.0
1995.85,1382.0
1969.3,1382.0
1942.77,1379.0
1969.3,1383.0
1995.85,1381.0
1969.3,1378.0
1995.85,1381.0
1969.3,1382.0
1969.3,1384.0
1969.3,1378.0
1969.3,1378.0
1969.3,1382.0
1969.3,1382.0
1969.3,1379.0
1916.25,1379.0
1995.85,1380.0
1969.3,1381.0
1969.3,1379.0
1969.3,1382.0
1942.77,1380.0
1942.77,1382.0
1942.77,1382.0
1942.77,1379.0
1969.3,1382.0
1969.3,1383.0
1942.77,1384.0
1942.77,1382.0
1942.77,1381.0
1942.77,1384.0
1942.77,1382.0
1916.25,1384.0
1942.77,1382.0
1969.3,1382.0
1942.77,1382.0
1969.3,1388.0
1942.77,1390.0
1995.85,1398.0
1942.77,1391.0
1942.77,1395.0
1969.3,1395.0
1969.3,1392.0
1916.25,1394.0
1969.3,1395.0
1969.3,1393.0
1942.77,1391.0
1995.85,1390.0
1969.3,1394.0
1969.3,1390.0
1942.77,1394.0
1942.77,1392.0
1969.3,1391.0
1969.3,1391.0
1969.3,1390.0
1969.3,1391.0
1942.77,1395.0
1942.77,1390.0
1969.3,1390.0
1942.77,1389.0
1942.77,1391.0
1942.77,1391.0
1942.77,1392.0
1969.3,1392.0
1942.77,1394.0
1969.3,1387.0
1942.77,1389.0
1942.77,1390.0
1942.77,1388.0
1942.77,1392.0
1942.77,1390.0
1916.25,1391.0
1916.25,1390.0
1942.77,1392.0
1942.77,1393.0
1916.25,1394.0
1916.25,1390.0
1889.75,1389.0
1942.77,1392.0
1969.3,1392.0
1995.85,1392.0
2022.4,1390.0
2048.97,1386.0
2022.4,1388.0
2022.4,1392.0
2022.4,1392.0
2022.4,1390.0
2048.97,1390.0
1995.85,1392.0
1995.85,1392.0
2022.4,1391.0
2075.55,1386.0
2022.4,1390.0
2022.4,1392.0
1995.85,1389.0
1995.85,1387.0
2022.4,1388.0
1995.85,1389.0
1995.85,1388.0
2022.4,1388.0
1995.85,1386.0
