LC_Input,FSR
4213.21,2049.0
4185.68,2053.0
4158.17,2049.0
4185.68,2050.0
4213.21,2048.0
4158.17,2047.0
4185.68,2045.0
4158.17,2046.0
4158.17,2048.0
4130.66,2046.0
4158.17,2047.0
4185.68,2046.0
4185.68,2051.0
4185.68,2049.0
4158.17,2050.0
4213.21,2050.0
4213.21,2048.0
4130.66,2050.0
4185.68,2046.0
4158.17,2049.0
4185.68,2047.0
4158.17,2049.0
4185.68,2049.0
4158.17,2050.0
4158.17,2049.0
4158.17,2046.0
4185.68,2050.0
4158.17,2050.0
4158.17,2049.0
4158.17,2049.0
4158.17,2047.0
4158.17,2049.0
4213.21,2047.0
4158.17,2043.0
4158.17,2050.0
4323.44,2050.0
4158.17,2047.0
4158.17,2050.0
4213.21,2048.0
4158.17,2045.0
4158.17,2049.0
4158.17,2048.0
4158.17,2046.0
4213.21,2048.0
4185.68,2046.0
4158.17,2046.0
4158.17,2046.0
4158.17,2050.0
4158.17,2048.0
4158.17,2051.0
4185.68,2050.0
4158.17,2050.0
4185.68,2050.0
4268.3,2049.0
4185.68,2049.0
4158.17,2050.0
4158.17,2049.0
4158.17,2050.0
4158.17,2050.0
4185.68,2046.0
4158.17,2045.0
4158.17,2045.0
4158.17,2050.0
4158.17,2048.0
4185.68,2048.0
4158.17,2047.0
4130.66,2049.0
4185.68,2050.0
4185.68,2052.0
4213.21,2046.0
4158.17,2050.0
4158.17,2050.0
4158.17,2046.0
4158.17,2050.0
4158.17,2051.0
4158.17,2050.0
4158.17,2054.0
4158.17,2050.0
4158.17,2046.0
4213.21,2046.0
4158.17,2049.0
4158.17,2046.0
4158.17,2047.0
4158.17,2046.0
4158.17,2049.0
4268.3,2048.0
4158.17,2046.0
4158.17,2044.0
4158.17,2049.0
4130.66,2046.0
4158.17,2049.0
4130.66,2050.0
4158.17,2050.0
4213.21,2048.0
4158.17,2048.0
4158.17,2050.0
4185.68,2049.0
4185.68,2049.0
4185.68,2051.0
4158.17,2050.0
4158.17,2050.0
4158.17,2050.0
4158.17,2048.0
4158.17,2050.0
4130.66,2048.0
4130.66,2050.0
4158.17,2051.0
4158.17,2046.0
4158.17,2049.0
4158.17,2050.0
4158.17,2047.0
4158.17,2050.0
4130.66,2047.0
4158.17,2046.0
4158.17,2046.0
4158.17,2048.0
4158.17,2050.0
4130.66,2046.0
4158.17,2046.0
4158.17,2048.0
4130.66,2046.0
4158.17,2048.0
4323.44,2050.0
4213.21,2050.0
4185.68,2046.0
4158.17,2050.0
4185.68,2050.0
4158.17,2051.0
4158.17,2049.0
4158.17,2049.0
4158.17,2048.0
4158.17,2048.0
4158.17,2048.0
4158.17,2050.0
4158.17,2050.0
4158.17,2046.0
4158.17,2050.0
4158.17,2047.0
4130.66,2047.0
4378.62,2049.0
4185.68,2050.0
4158.17,2048.0
4158.17,2049.0
4130.66,2046.0
4185.68,2048.0
4213.21,2042.0
4130.66,2046.0
4158.17,2050.0
4158.17,2050.0
4158.17,2051.0
4130.66,2050.0
4158.17,2050.0
4130.66,2046.0
4185.68,2050.0
4158.17,2049.0
4130.66,2050.0
4158.17,2048.0
4268.3,2048.0
4158.17,2047.0
4158.17,2046.0
4130.66,2053.0
4158.17,2045.0
4185.68,2050.0
4158.17,2046.0
4158.17,2047.0
4158.17,2048.0
4158.17,2048.0
4130.66,2046.0
4158.17,2050.0
4158.17,2048.0
4130.66,2050.0
4130.66,2050.0
4378.62,2049.0
4103.17,2050.0
4158.17,2047.0
4158.17,2050.0
4158.17,2049.0
4103.17,2048.0
4185.68,2050.0
4185.68,2050.0
4130.66,2048.0
4130.66,2050.0
4130.66,2050.0
4130.66,2050.0
4158.17,2053.0
4130.66,2050.0
4213.21,2044.0
4158.17,2046.0
4130.66,2050.0
4130.66,2050.0
4158.17,2053.0
4130.66,2050.0
4158.17,2050.0
4185.68,2051.0
4158.17,2046.0
4185.68,2049.0
4213.21,2050.0
4158.17,2048.0
4158.17,2048.0
4158.17,2050.0
4158.17,2048.0
4130.66,2046.0
4158.17,2046.0
4130.66,2045.0
4158.17,2048.0
4130.66,2046.0
4158.17,2049.0
4158.17,2046.0
4103.17,2050.0
4158.17,2047.0
4130.66,2048.0
4130.66,2048.0
4185.68,2046.0
4130.66,2046.0
4130.66,2051.0
4213.21,2053.0
4158.17,2050.0
4130.66,2050.0
4158.17,2051.0
4130.66,2050.0
4213.21,2047.0
4130.66,2049.0
4130.66,2056.0
4130.66,2050.0
4130.66,2050.0
4130.66,2049.0
4130.66,2048.0
4130.66,2052.0
4158.17,2049.0
4130.66,2046.0
4130.66,2050.0
4158.17,2049.0
4130.66,2048.0
4213.21,2046.0
4158.17,2050.0
4185.68,2050.0
4130.66,2050.0
4130.66,2051.0
4130.66,2047.0
4130.66,2050.0
4158.17,2047.0
4130.66,2048.0
4158.17,2050.0
4130.66,2050.0
