LC_Input,FSR
5296.12,2170.0
5268.13,2173.0
5240.14,2170.0
5268.13,2172.0
5268.13,2171.0
5268.13,2171.0
5268.13,2170.0
5240.14,2175.0
5268.13,2171.0
5240.14,2168.0
5240.14,2173.0
5268.13,2169.0
5268.13,2171.0
5268.13,2173.0
5240.14,2172.0
5240.14,2174.0
5268.13,2168.0
5268.13,2171.0
5436.28,2171.0
5240.14,2171.0
5268.13,2169.0
5240.14,2170.0
5240.14,2173.0
5296.12,2173.0
5268.13,2170.0
5240.14,2172.0
5240.14,2170.0
5240.14,2168.0
5268.13,2170.0
5268.13,2169.0
5240.14,2168.0
5240.14,2168.0
5268.13,2173.0
5240.14,2174.0
5212.17,2170.0
5296.12,2172.0
5212.17,2171.0
5212.17,2168.0
5184.21,2174.0
5184.21,2170.0
5268.13,2170.0
5212.17,2168.0
5212.17,2172.0
5212.17,2173.0
5240.14,2173.0
5212.17,2171.0
5212.17,2175.0
5212.17,2175.0
5212.17,2172.0
5212.17,2166.0
5184.21,2170.0
5408.22,2169.0
5240.14,2169.0
5212.17,2172.0
5184.21,2170.0
5212.17,2168.0
5184.21,2172.0
5212.17,2171.0
5212.17,2167.0
5212.17,2172.0
5212.17,2173.0
5240.14,2175.0
5184.21,2172.0
5212.17,2172.0
5184.21,2174.0
5184.21,2170.0
5212.17,2172.0
5212.17,2170.0
5240.14,2169.0
5184.21,2172.0
5184.21,2170.0
5212.17,2174.0
5184.21,2172.0
5212.17,2171.0
5184.21,2168.0
5184.21,2171.0
5212.17,2175.0
5240.14,2171.0
5212.17,2171.0
5184.21,2177.0
5212.17,2170.0
5184.21,2175.0
5184.21,2174.0
5184.21,2172.0
5184.21,2174.0
5212.17,2169.0
5212.17,2169.0
5212.17,2170.0
5212.17,2172.0
5212.17,2174.0
5184.21,2175.0
5184.21,2170.0
5240.14,2169.0
5212.17,2167.0
5240.14,2168.0
5212.17,2171.0
5212.17,2175.0
5212.17,2170.0
5184.21,2174.0
